id_ban_position,id_ban_adresse,cle_interop,id_ban_group,id_fantoir,numero,suffixe,nom_voie,code_postal,nom_commune,code_insee,nom_complementaire,x,y,lon,lat,typ_loc,source,date_der_maj
ban-position-8f57d05e6aba4e9bbffa00d0647ea318,ban-housenumber-a8970d3225534d659cedfe9ca3f4c525,40282_0730_4,ban-group-503648c5a4b6409d92921a019f5f03c0,402820730,4,,Rue de Pipoulan,40500,Saint-Sever,40282,,411548.695234768,6302021.7008158,-0.582415,43.758317,parcel,dgfip,2018-10-20
ban-position-f47714c76f4e4b729ef4f419c8c75a38,ban-housenumber-ea9d4a3c0e074e3e99ba69a861c5a3ff,40331_0038_4,ban-group-3c9c7432401d4b838ece0aa8c6341d6f,403310038,4,,GRAND RUE,40190,Villeneuve-de-Marsan,40331,,434505.18959868205,6315904.85719866,-0.30486599999999997,43.892139,entrance,ign,2018-10-20
ban-position-c6f1a84089404ce48e3a3ffb76e9d1ea,ban-housenumber-3e772cbbf6654bf493e0078f012aae20,40221_0240_821,ban-group-7b231759bcf9447c9832c0188353641d,402210240,821,,Route du Hallot,40190,Perquie,40221,,436490.359355236,6313378.28559466,-0.278878,43.870166,parcel,dgfip,2018-10-20
ban-position-cc9ab527805b4f42bdfcd3c0b2b778a2,ban-housenumber-999bc88c44e74e9e9186e4da5ce81b62,40286_0420_345,ban-group-7c0ab7b2e2e94a18b71aeb1d0a825756,402860420,345,,Chemin de Lamarque,40320,Samadet,40286,,418300.729842124,6288082.20900421,-0.491020134778163,43.6357324400328,segment,ign,2019-07-21
ban-position-90d39c6800a34a77b6dff7e2dd310fa3,ban-housenumber-1fae9b4aadf84575bccca24283ed8d45,40134_0970_11,ban-group-03652298842d45ccbe70df2e50eff4b3,401340970,11,,Rue des Pavés,40210,Labouheyre,40134,,386921.698721856,6353414.61910371,-0.9194469999999999,44.209798,parcel,dgfip,2018-10-20
ban-position-6a92293c3e074a67aabb07bb39725392,ban-housenumber-42ce7679081c43759f07d21bc71f68fd,40139_0295_115,ban-group-8d6d9c753669456aa00e9c48f4992fa5,401390295,115,,ROUTE DE PUJO,40090,Laglorieuse,40139,,426539.112933898,6313522.06072328,-0.402629,43.867671,parcel,dgfip,2018-10-20
ban-position-3911c91773d54b489eef1a5a5c4a5f00,ban-housenumber-3ba2da6638c845a99541d26c94a30e63,40313_0059_110,ban-group-3506a13e2f584a15abd15186446b6469,403130059,110,,Rue Jules Ferry,40400,Tartas,40313,,393668.491402022,6311334.75757587,-0.80972,43.834503000000005,segment,ign,2018-10-20
ban-position-9132529bbad94660bd01f58527a87f08,ban-housenumber-758f982c4ee24edba80e5f8ef35d4410,40197_0530_25,ban-group-e34e14a43df941719bf230c7fd99c1cb,401970530,25,,Rue Roger Salengro,40110,Morcenx-la-Nouvelle,40197,Morcenx,386713.17659057706,6333668.47512921,-0.9098229999999999,44.032198,entrance,ign,2019-04-02
ban-position-f1531275fa2b467ba28792e66d139b1d,ban-housenumber-b997c6e8d2ff4d9fbcbf9239b5bb9b27,40312_0710_2236,ban-group-30ec344838b94c92975faead5ae419b8,403120710,2236,,Rue des Barthes,40220,Tarnos,40312,,341387.0,6278602.79999999,-1.4358056880656298,43.5158259408923,segment,ign,2019-01-31
ban-position-701e7a651ab44571b991f3eaa2476716,ban-housenumber-1f0154eb3f324cdbb8089e2e9db59dff,40142_0305_607,ban-group-91960ced897a4506a79e6ee42d1627a7,401420305,607,,Avenue Saint-jean,40465,Laluque,40142,,379407.12365857797,6313855.15726236,-0.9883700000000001,43.850821999999994,parcel,dgfip,2018-10-20
ban-position-48b9502ea8c543d29c0687490e677ffb,ban-housenumber-613f794bfbc8427da4ce0943ac8500e0,40157_0012_103,ban-group-e536559eaf29474c8f2c7dede15da3bf,401570012,103,,Rue des Bergeries,40170,Lit-et-Mixe,40157,,359456.879079786,6335409.45264387,-1.25052,44.035176,parcel,dgfip,2018-10-20
